index,variable,value,window
volatility,reward,-0.09213301961471038,1
turbulence,reward,0.08270990919497097,1
reward,volatility,-0.09213301961471038,1
turbulence,volatility,0.17423961009203925,1
reward,turbulence,0.08270990919497097,1
volatility,turbulence,0.17423961009203925,1
volatility,reward,0.030979038995090635,2
turbulence,reward,0.012918260651693006,2
reward,volatility,0.030979038995090635,2
turbulence,volatility,0.33044424693397767,2
reward,turbulence,0.012918260651693006,2
volatility,turbulence,0.33044424693397767,2
volatility,reward,0.05419925497278534,3
turbulence,reward,0.10656345578262837,3
reward,volatility,0.05419925497278534,3
turbulence,volatility,0.21603324760884063,3
reward,turbulence,0.10656345578262837,3
volatility,turbulence,0.21603324760884063,3
volatility,reward,0.0976259203496794,4
turbulence,reward,0.4281817168449115,4
reward,volatility,0.0976259203496794,4
turbulence,volatility,0.24761808296596727,4
reward,turbulence,0.4281817168449115,4
volatility,turbulence,0.24761808296596727,4
volatility,reward,0.06984629899669748,5
turbulence,reward,-0.45663935782862886,5
reward,volatility,0.06984629899669748,5
turbulence,volatility,0.17819703156193817,5
reward,turbulence,-0.45663935782862886,5
volatility,turbulence,0.17819703156193817,5
volatility,reward,0.00640419067425005,6
turbulence,reward,0.06324029898029698,6
reward,volatility,0.00640419067425005,6
turbulence,volatility,-0.022399209672824258,6
reward,turbulence,0.06324029898029698,6
volatility,turbulence,-0.022399209672824258,6
volatility,reward,-0.06617977444665485,7
turbulence,reward,0.12454549224242775,7
reward,volatility,-0.06617977444665485,7
turbulence,volatility,0.1216471437375181,7
reward,turbulence,0.12454549224242775,7
volatility,turbulence,0.1216471437375181,7
volatility,reward,-0.024091942576054886,8
turbulence,reward,-0.38225773015695874,8
reward,volatility,-0.024091942576054886,8
turbulence,volatility,0.07775906272061325,8
reward,turbulence,-0.38225773015695874,8
volatility,turbulence,0.07775906272061325,8
volatility,reward,-0.029536324080447224,9
turbulence,reward,0.38118355156666955,9
reward,volatility,-0.029536324080447224,9
turbulence,volatility,-0.018361029045247373,9
reward,turbulence,0.38118355156666955,9
volatility,turbulence,-0.018361029045247373,9
volatility,reward,0.018705279643282915,10
turbulence,reward,0.32958859567783594,10
reward,volatility,0.018705279643282915,10
turbulence,volatility,0.11368460212270798,10
reward,turbulence,0.32958859567783594,10
volatility,turbulence,0.11368460212270798,10
volatility,reward,0.11606422051962727,11
turbulence,reward,-0.14478714993508993,11
reward,volatility,0.11606422051962727,11
turbulence,volatility,0.17414465986894118,11
reward,turbulence,-0.14478714993508993,11
volatility,turbulence,0.17414465986894118,11
volatility,reward,0.05086519531923968,12
turbulence,reward,0.0424356367054769,12
reward,volatility,0.05086519531923968,12
turbulence,volatility,0.08373692304196002,12
reward,turbulence,0.0424356367054769,12
volatility,turbulence,0.08373692304196002,12
volatility,reward,0.01714850287123338,13
turbulence,reward,0.13991352208308916,13
reward,volatility,0.01714850287123338,13
turbulence,volatility,-0.04485478646664184,13
reward,turbulence,0.13991352208308916,13
volatility,turbulence,-0.04485478646664184,13
volatility,reward,0.001618391501802543,14
turbulence,reward,0.28287444533214884,14
reward,volatility,0.001618391501802543,14
turbulence,volatility,-0.04457997855489507,14
reward,turbulence,0.28287444533214884,14
volatility,turbulence,-0.04457997855489507,14
volatility,reward,-0.184047254985784,15
turbulence,reward,0.020054825878758002,15
reward,volatility,-0.184047254985784,15
turbulence,volatility,0.17566240025848573,15
reward,turbulence,0.020054825878758002,15
volatility,turbulence,0.17566240025848573,15
volatility,reward,-0.2041264687823393,16
turbulence,reward,0.02960283126135779,16
reward,volatility,-0.2041264687823393,16
turbulence,volatility,0.10361246230017991,16
reward,turbulence,0.02960283126135779,16
volatility,turbulence,0.10361246230017991,16
volatility,reward,-0.07107590133083347,17
turbulence,reward,0.28961287779893674,17
reward,volatility,-0.07107590133083347,17
turbulence,volatility,-0.06368272067289397,17
reward,turbulence,0.28961287779893674,17
volatility,turbulence,-0.06368272067289397,17
volatility,reward,0.019943491573599686,18
turbulence,reward,0.2289549966114991,18
reward,volatility,0.019943491573599686,18
turbulence,volatility,0.14095937724559535,18
reward,turbulence,0.2289549966114991,18
volatility,turbulence,0.14095937724559535,18
volatility,reward,-0.06625374078537741,19
turbulence,reward,0.27935453461941767,19
reward,volatility,-0.06625374078537741,19
turbulence,volatility,0.32689864541717223,19
reward,turbulence,0.27935453461941767,19
volatility,turbulence,0.32689864541717223,19
volatility,reward,0.009169227348930586,20
turbulence,reward,0.5369614181164339,20
reward,volatility,0.009169227348930586,20
turbulence,volatility,0.036573863853484705,20
reward,turbulence,0.5369614181164339,20
volatility,turbulence,0.036573863853484705,20
volatility,reward,-0.014776092083254222,21
turbulence,reward,0.05509999748687012,21
reward,volatility,-0.014776092083254222,21
turbulence,volatility,0.04104977148883387,21
reward,turbulence,0.05509999748687012,21
volatility,turbulence,0.04104977148883387,21
volatility,reward,-0.12889527690970803,22
turbulence,reward,0.11728779512348234,22
reward,volatility,-0.12889527690970803,22
turbulence,volatility,0.21041367851826429,22
reward,turbulence,0.11728779512348234,22
volatility,turbulence,0.21041367851826429,22
