agent,window,train_start,train_end,trade_start,trade_end,sharpe_ratio,min_account_value,max_account_value,total_return,volatility (std),max_drawdown,initial_acc_val,final_acc_val,,Average Winners,Average Loosers,, Loosers, Winners
A2C,1,2020-05-04,2020-11-03,2020-11-05,2021-03-03,3.01117839939514,981879.899537385,1807732.76071933,0.501357934596425,0.0546220746986612,0.223141598978607,1000000,1501357.93,,1254592.61,824368.24,,12,14
PPO,2,2020-07-04,2021-01-03,2021-01-03,2021-05-03,5.42874649577776,994010.121349639,1839904.66134594,0.833088434463714,0.0389273430897918,0.121734600899938,1000000,1833088.43,,,,,,
PPO,3,2020-09-04,2021-03-03,2021-03-05,2021-07-03,-1.66724032648441,427880.23387,1102643.02387,-0.52871531613,0.093680964956828,0.611950355094754,1000000,471284.68,,,,,,
A2C,4,2020-11-04,2021-05-03,2021-05-05,2021-09-03,4.23875645084444,850043.658009927,1545909.35462719,0.540193564461306,0.0352676155348937,0.114767943380455,1000000,1540193.56,,,,,,
PPO,5,2021-01-04,2021-07-03,2021-07-06,2021-11-03,1.57322525408037,710762.767822072,1173333.89652399,0.173333896523987,0.0452940302522244,0.260551114228506,1000000,1173333.9,,,,,,
A2C,6,2021-03-04,2021-09-03,2021-09-05,2022-01-03,-1.04666004250644,801240.226182786,1060545.48896,-0.155106073353794,0.0385202929334009,0.244501782786796,1000000,844893.93,,,,,,
A2C,7,2021-05-04,2021-11-03,2021-11-05,2022-03-03,-0.343520696959445,740956.094095428,1000000,-0.0765012315409539,0.0382252392437282,0.259043905904572,1000000,923498.77,,,,,,
DDPG,8,2021-07-04,2022-01-03,2022-01-03,2022-05-03,0.0970096247561894,962790.01067,1213280.81067,-0.0138119493300001,0.0276728214773122,0.206457398647617,1000000,986188.05,,,,,,
PPO,9,2021-09-04,2022-03-03,2022-03-05,2022-07-03,-4.85824094547261,480761.970510261,1000000,-0.50969425133202,0.0434485710686418,0.519238029489739,1000000,490305.75,,,,,,
DDPG,10,2021-11-04,2022-05-03,2022-05-05,2022-09-03,0.150880341203356,955052.992321,1209305.040261,-0.012366239739,0.0300009705770933,0.199390163748891,1000000,987633.76,,,,,,
PPO,11,2022-01-04,2022-07-03,2022-07-06,2022-11-03,0.565744461804208,939864.869957137,1140454.68813012,0.026327752437785,0.0265897626423189,0.175885828924837,1000000,1026327.75,,,,,,
PPO,12,2022-03-04,2022-09-03,2022-09-05,2023-01-03,-2.07075169833027,726243.243371532,1002129.09351565,-0.225412568429476,0.0343390034670383,0.2752997113139,1000000,774587.43,,,,,,
A2C,13,2022-05-04,2022-11-03,2022-11-05,2023-03-03,2.70584727700551,992581.152909571,1300701.94445475,0.195346552793044,0.0241577845687407,0.107445114379839,1000000,1195346.55,,,,,,
PPO,14,2022-07-04,2023-01-03,2023-01-03,2023-05-03,2.95208531222002,901976.265716799,1362342.23295395,0.279671804832337,0.0298965168886639,0.105628090646703,1000000,1279671.8,,,,,,
PPO,15,2022-09-04,2023-03-03,2023-03-05,2023-07-03,0.787494476551668,877104.414439615,1050973.67635889,0.04011555757787,0.0218600955845895,0.165436362327973,1000000,1040115.56,,,,,,
PPO,16,2022-11-04,2023-05-03,2023-05-05,2023-09-03,-1.90562365881713,867551.71725,1055972.81725,-0.11595628275,0.0188247388768822,0.178433665073588,1000000,884043.72,,,,,,
A2C,17,2023-01-04,2023-07-03,2023-07-06,2023-11-03,1.78476984689732,934149.124534,1120421.404534,0.0924302645340003,0.0176912365994338,0.105025733642551,1000000,1092430.26,,,,,,
PPO,18,2023-03-04,2023-09-03,2023-09-05,2024-01-03,3.67154272210655,998496.506204,1281741.04907192,0.281741049071919,0.0233234577412808,0.064325047070669,1000000,1281741.05,,,,,,
DDPG,19,2023-05-04,2023-11-03,2023-11-05,2024-03-03,3.54421951385341,902303.81069,1280706.31069,0.26927701069,0.0236722788258336,0.0762830545102605,1000000,1269277.01,,,,,,
A2C,20,2023-07-04,2024-01-03,2024-01-04,2024-05-03,-1.40121861955547,813051.339693013,1100478.99801688,-0.183372962205968,0.0373484898354228,0.261184137854361,1000000,816627.04,,,,,,
PPO,21,2023-09-04,2024-03-03,2024-03-05,2024-07-03,0.0971046473686062,968149.82101,1214128.52101,-0.00965917898999991,0.024290566296372,0.202175136941683,1000000,990340.82,,,,,,
PPO,22,2023-11-04,2024-05-03,2024-05-05,2024-09-03,0.650356517839555,943295.875877817,1193140.73722715,0.0357227122758446,0.0301123066055451,0.209400998183982,1000000,1035722.71,,,,,,
PPO,23,2024-01-04,2024-07-03,2024-07-06,2024-11-03,0.463506055355595,907904.171032,1120749.611032,0.017656171032,0.0257916080918513,0.12545981601593,1000000,1017656.17,,,,,,
PPO,24,2024-03-04,2024-09-03,2024-09-05,2025-01-03,2.78555712793246,1000000,1356671.03275,0.27803380275,0.0319370331130547,0.133274423670339,1000000,1278033.8,,,,,,
A2C,25,2024-05-04,2024-11-03,2024-11-05,2025-03-03,-1.35440311823056,798352.191259,1022330.061259,-0.125447418741,0.0277755142462452,0.219085673489999,1000000,874552.58,,,,,,
PPO,26,2024-07-04,2025-01-03,2025-01-03,2025-05-03,-0.883943955053347,678771.986159249,1032136.91054,-0.151537643840752,0.0416558815976932,0.342362452860905,1000000,848462.36,,,,,,
